"","geo_code1","geo_code2","all","from_home","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","geo_name1","geo_name2","la_1","la_2"
"44","E02002330","E02002381",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 052","Leeds","Leeds"
"45","E02002330","E02002382",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 053","Leeds","Leeds"
"46","E02002330","E02002383",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 001","Leeds 054","Leeds","Leeds"
"47","E02002330","E02002384",16,0,0,0,1,0,0,11,3,1,0,0,"Leeds 001","Leeds 055","Leeds","Leeds"
"48","E02002330","E02002385",3,0,0,0,0,0,0,2,0,0,1,0,"Leeds 001","Leeds 056","Leeds","Leeds"
"49","E02002330","E02002386",11,0,0,0,0,0,1,9,1,0,0,0,"Leeds 001","Leeds 057","Leeds","Leeds"
"50","E02002330","E02002387",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 058","Leeds","Leeds"
"51","E02002330","E02002388",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 059","Leeds","Leeds"
"52","E02002330","E02002389",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 001","Leeds 060","Leeds","Leeds"
"53","E02002330","E02002390",6,0,0,0,0,0,0,6,0,0,0,0,"Leeds 001","Leeds 061","Leeds","Leeds"
"54","E02002330","E02002391",4,0,0,0,0,0,0,2,0,0,2,0,"Leeds 001","Leeds 062","Leeds","Leeds"
"55","E02002330","E02002392",37,0,0,2,1,1,0,28,2,0,3,0,"Leeds 001","Leeds 063","Leeds","Leeds"
"56","E02002330","E02002393",30,0,0,0,1,0,1,27,1,0,0,0,"Leeds 001","Leeds 064","Leeds","Leeds"
"57","E02002330","E02002394",7,0,0,0,0,0,0,7,0,0,0,0,"Leeds 001","Leeds 065","Leeds","Leeds"
"58","E02002330","E02002395",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 066","Leeds","Leeds"
"59","E02002330","E02002396",5,0,0,0,0,0,0,1,2,0,2,0,"Leeds 001","Leeds 067","Leeds","Leeds"
"60","E02002330","E02002397",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 001","Leeds 068","Leeds","Leeds"
"61","E02002330","E02002398",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 001","Leeds 069","Leeds","Leeds"
"62","E02002330","E02002399",6,0,0,0,0,0,0,5,1,0,0,0,"Leeds 001","Leeds 070","Leeds","Leeds"
"63","E02002330","E02002400",22,0,0,0,1,0,1,18,0,1,0,1,"Leeds 001","Leeds 071","Leeds","Leeds"
"64","E02002330","E02002402",12,0,0,0,0,0,0,12,0,0,0,0,"Leeds 001","Leeds 073","Leeds","Leeds"
"65","E02002330","E02002403",11,0,0,0,0,0,0,10,1,0,0,0,"Leeds 001","Leeds 074","Leeds","Leeds"
"66","E02002330","E02002404",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 075","Leeds","Leeds"
"67","E02002330","E02002405",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 001","Leeds 076","Leeds","Leeds"
"68","E02002330","E02002406",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 077","Leeds","Leeds"
"69","E02002330","E02002408",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 079","Leeds","Leeds"
"70","E02002330","E02002409",1,0,0,0,0,0,0,0,0,0,1,0,"Leeds 001","Leeds 080","Leeds","Leeds"
"71","E02002330","E02002411",17,0,0,0,1,0,0,14,2,0,0,0,"Leeds 001","Leeds 082","Leeds","Leeds"
"72","E02002330","E02002412",8,0,0,0,0,0,0,8,0,0,0,0,"Leeds 001","Leeds 083","Leeds","Leeds"
"73","E02002330","E02002414",6,0,0,0,2,0,0,4,0,0,0,0,"Leeds 001","Leeds 085","Leeds","Leeds"
"74","E02002330","E02002415",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 001","Leeds 086","Leeds","Leeds"
"75","E02002330","E02002416",15,0,0,0,0,0,0,13,1,0,1,0,"Leeds 001","Leeds 087","Leeds","Leeds"
"76","E02002330","E02002417",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 001","Leeds 088","Leeds","Leeds"
"77","E02002330","E02002418",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 001","Leeds 089","Leeds","Leeds"
